alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,pc_1,pc_2,tsne_1,tsne_2,label
12.96,3.45,2.35,18.5,106.0,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675.0,-2.597497056648765,0.6979655372009196,-6.6612415,29.35883,2
13.78,2.76,2.3,22.0,90.0,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615.0,-2.9492993731348456,1.5553089642839826,-7.886333,37.85106,2
13.73,4.36,2.26,22.5,88.0,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520.0,-3.5300322663493118,0.8825267962042354,-13.336635,32.23352,2
13.45,3.7,2.6,23.0,111.0,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695.0,-2.406110540478552,2.592356175042398,-6.5442624,42.640068,2
12.82,3.37,2.3,19.5,88.0,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685.0,-2.9290847269674556,1.2744469479044813,-8.415974,36.56316,2
13.58,2.58,2.69,24.5,105.0,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750.0,-2.1814127788126205,2.077537312734516,-5.9918966,41.683285,2
13.4,4.6,2.86,25.0,112.0,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630.0,-2.3809277871356382,2.588667432418592,-3.9266686,42.610985,2
12.2,3.03,2.32,19.0,96.0,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510.0,-3.2116172150412488,-0.25124910442559106,-6.5919743,28.337482,2
12.77,2.39,2.28,19.5,86.0,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470.0,-3.6779187209738176,0.8477478441497629,-8.189427,35.54838,2
14.16,2.51,2.48,20.0,91.0,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660.0,-2.465555798040449,2.1937983036540927,-8.158115,38.835705,2
13.71,5.65,2.45,20.5,95.0,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740.0,-3.370524145442861,2.216289139861136,-14.072975,37.349472,2
13.4,3.91,2.48,23.0,102.0,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750.0,-2.601955851224737,1.7572293509792754,-7.7462864,40.979576,2
13.27,4.28,2.26,20.0,120.0,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835.0,-2.677839460864502,2.760899131674546,-7.405184,45.30509,2
13.17,2.59,2.37,20.0,120.0,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840.0,-2.38701709127972,2.29734667971282,-8.672438,45.059307,2
14.13,4.1,2.74,24.5,96.0,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560.0,-3.2087581641980214,2.768919566047575,-9.285167,41.869392,2
